id;timestamp;unix_timestamp;Rank;Tweeter;Query;Datetime;Hate Score;Position;Status November 2024;Status February 2025;Original content;Google translation
1;2024-10-18 00:00:00;1729202400;344;5b1f35030553ec99798407f3673b6dac116487a6589e11de;ter%20apel;2024-10-18;0.914936602115631;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;;
2;2024-10-10 00:00:00;1728511200;181;c4ab633f206af096c77c836d2e8298b6592ffbba2afeb8ab;ter%20apel;2024-10-10;0.927502572536468;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;;
3;2024-10-14 00:00:00;1728856800;14;c13b5f62552dd76dfe05f9d7d92154a786c9a1dcfc22afbd;ter%20apel;2024-10-14;0.967950105667114;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;;
4;2024-10-05 00:00:00;1728079200;43;b1f2df36563c4d6f91d437dd1caa77f98b8ed4e2c22c9256;gastarbeiders;2024-10-05;0.961085379123688;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;;
5;2024-10-05 00:00:00;1728079200;46;b1f2df36563c4d6f91d437dd1caa77f98b8ed4e2c22c9256;gastarbeiders;2024-10-05;0.949728190898895;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;;
6;2024-10-09 00:00:00;1728424800;10;3d08847183b292b5e7cb85a09e4752ee00a52ea750ef154e;gastarbeiders;2024-10-09;0.864082753658295;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;;
7;2024-10-02 00:00:00;1727820000;10;d0be698fb692bb78a4771891dda9c853433e3f2bc60dcb7d;immigrant;2024-10-02;0.963717401027679;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;"LAATSTE NIEUWS

De 17-jarige bokser Kylian Binard werd gisteren door een Algerijnse immigrant doodgestoken buiten een nachtclub in Bayeux, Frankrijk.

Frans Timmermans en de Linkse deugneuzenbrigade willen dit tuig massaal binnen laten, steken, roven, verkrachten doen ze";"LATEST NEWS

17-year-old boxer Kylian Binard was stabbed to death yesterday by an Algerian immigrant outside a nightclub in Bayeux, France.

Frans Timmermans and the Left-wing rascal brigade want to let this scum in en masse, they stab, rob, rape"
8;2024-10-06 00:00:00;1728165600;68;c046932d5ddbc576d4f630cc2f12c03945bdd95ba2471e3e;immigrant;2024-10-06;0.931757926940918;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;Helemaal mee eens.  Ik ben tegen elke immigrant die hier komt en meteen zijn hand ophoudt voor een uitkering en een huis. Zolang mijn kinderen géén fatsoenlijk huis kunnen huren of kopen blijven ze maar lekker weg. Ja,  ook al die asielzoekers.  Optiefen!;Totally agree.  I am against any immigrant who comes here and immediately puts up his hand for benefits and a house. As long as my children cannot rent or buy a decent house, they will stay away. Yes, even all those asylum seekers.  Options!
9;2024-10-18 00:00:00;1729202400;4;e260093fa7aee6083c2d8e6433e2d613a6bb8aeef510a6c7;immigrant;2024-10-18;0.800516605377197;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;Dit is Nederland: racisten en ander bekrompen volk klagen wanneer een immigrant een warme maaltijd in opvang krijgt, maar de corrupte CEO's zoals Guy Vroemen krijgen nooit een woedende menigte voor de deur;This is the Netherlands: racists and other bigoted people complain when an immigrant gets a hot meal in a shelter, but the corrupt CEOs like Guy Vroemen never get an angry mob at their doorstep
10;2024-10-10 00:00:00;1728511200;20;d0be698fb692bb78a4771891dda9c853433e3f2bc60dcb7d;vluchtelingen;2024-10-10;0.862048506736755;1. Against immigration, migrants, foreigners, refugees, or Muslims.;Hmm...this page doesn’t exist. Try searching for something else.;Hmm...this page doesn’t exist. Try searching for something else.;"Inteelt barbaar in de  UK is het helemaal zat, Sharia Law is de uitkomst, ze hebben niets met democratie.

Toch raar dat ze moesten vluchten uit het kalifaat, om een nieuw kalifaat te maken, of zijn het geen vluchtelingen

Volgens de linkse deugneuzen is iedereen welkom.";"Inbred barbarian in the UK is fed up, Sharia Law is the solution, they have nothing to do with democracy.

It's strange that they had to flee from the caliphate to create a new caliphate, or are they not refugees?

According to the left-wing rascals, everyone is welcome."
